Author,DateOfConversation,CodingLanguage,day_name
CakeCrusher,2023-09-02,Python,Saturday
andrewgazelka,2023-09-08,CSS,Friday
kakimochi,2023-08-03,Game Maker Language,Thursday
mhrimaz,2023-06-01,Vue,Thursday
woojinsung-jimmy,2023-07-20,C,Thursday
sabedevops,2023-06-14,Go,Wednesday
posix4e,2023-08-09,Kotlin,Wednesday
Richie-Lee,2023-09-07,Jupyter Notebook,Thursday
jabrena,2023-06-17,Java,Saturday
jabrena,2023-06-18,Java,Sunday
VolkerSchroeder13,2023-07-11,Python,Tuesday
joaogdfaero,2023-08-16,JavaScript,Wednesday
neilenns,2023-07-23,JavaScript,Sunday
neilenns,2023-07-26,JavaScript,Wednesday
kusche12,2023-07-06,Objective-C,Thursday
jabrena,2023-07-12,Java,Wednesday
ilixindri,2023-06-30,JavaScript,Friday
mmabrouk,2023-08-15,TypeScript,Tuesday
dkirby-ms,2023-08-11,PowerShell,Friday
simonw,2023-08-30,Python,Wednesday
theoryshaw,2023-08-19,C++,Saturday
osamaramihafez,2023-07-24,JavaScript,Monday
salgo60,2023-06-20,Python,Tuesday
ymerkos,2023-08-08,Python,Tuesday
brucestull,2023-09-03,Python,Sunday
alien142,2023-09-11,Swift,Monday
MaartenHilferink,2023-07-07,C++,Friday
kushaljain10,2023-07-21,Python,Friday
joelouthan,2023-07-13,CSS,Thursday
joelouthan,2023-07-29,CSS,Saturday
joelouthan,2023-07-18,CSS,Tuesday
simonw,2023-07-18,Python,Tuesday
simonhamp,2023-09-01,PHP,Friday
FreePhoenix888,2023-07-12,TypeScript,Wednesday
tncks0121,2023-09-11,Rust,Monday
simonw,2023-09-05,Python,Tuesday
decentropy,2023-07-27,TypeScript,Thursday
simonw,2023-09-06,Python,Wednesday
neilenns,2023-07-03,TypeScript,Monday
Zhang-Yexun,2023-08-14,Python,Monday
tkdwns414,2023-08-10,Python,Thursday
tomcl,2023-08-15,F#,Tuesday
msrajawat298,2023-06-03,HTML,Saturday
cyshello,2023-09-04,Rust,Monday
abrichr,2023-06-19,Python,Monday
jabrena,2023-06-26,Java,Monday
purpleslurple,2023-08-18,PHP,Friday
purpleslurple,2023-08-20,PHP,Sunday
naoharu,2023-07-28,Vue,Friday
jabrena,2023-06-25,Java,Sunday
dantebarba,2023-07-14,Shell,Friday
hlapp,2023-08-14,,Monday
danielsgriffin,2023-08-31,TypeScript,Thursday
dhgkunkel,2023-08-01,,Tuesday
shmuelsash,2023-08-18,CSS,Friday
fejofj,2023-06-02,Swift,Friday
Yukizyh,2023-08-03,Python,Thursday
maro114510,2023-06-23,JavaScript,Friday
HubertWagnerVE,2023-09-02,R,Saturday
ArdenHide,2023-07-06,C#,Thursday
abernier,2023-06-06,Makefile,Tuesday
Konard,2023-05-29,TypeScript,Monday
ivansglazunov,2023-05-29,TypeScript,Monday
jackcore21,2023-08-10,JavaScript,Thursday
andrew-delph,2023-07-09,TypeScript,Sunday
esocha13,2023-07-28,JavaScript,Friday
cezar1,2023-09-06,C++,Wednesday
DigitalGoldfish,2023-06-07,TypeScript,Wednesday
jabrena,2023-06-15,Java,Thursday
paulio11,2023-06-01,JavaScript,Thursday
gorillamania,2023-06-27,Python,Tuesday
joaogdfaero,2023-07-10,JavaScript,Monday
deoxal,2023-08-14,C#,Monday
CMCDragonkai,2023-06-07,TypeScript,Wednesday
FahimMontasir,2023-08-02,TypeScript,Wednesday
simonw,2023-07-03,Python,Monday
Tolerblanc,2023-07-24,C++,Monday
rensanrenren,2023-07-12,,Wednesday
alexstan67,2023-06-21,Ruby,Wednesday
Elucidation,2023-07-06,Python,Thursday
Greyyy-HJC,2023-08-25,,Friday
sxiii,2023-07-29,HTML,Saturday
s-ja,2023-06-30,,Friday
mikedotexe,2023-07-19,Rust,Wednesday
yukarinoki,2023-07-17,,Monday
mnj,2023-05-29,,Monday
onyx-and-iris,2023-07-18,Ruby,Tuesday
garymm,2023-06-12,C++,Monday
pbharrin,2023-08-06,Shell,Sunday
lahwran,2023-06-27,Python,Tuesday
Hiroshiba,2023-07-22,TypeScript,Saturday
Hiroshiba,2023-07-23,TypeScript,Sunday
HeadStudios,2023-06-26,PHP,Monday
inquiloper,2023-06-25,,Sunday
whilefoo,2023-09-04,TypeScript,Monday
luqmansolihin,2023-07-25,PHP,Tuesday
i3ullbum,2023-09-05,Rust,Tuesday
GuillemineA,2023-06-29,JavaScript,Thursday
nghiatm341,2023-06-06,JavaScript,Tuesday
ianbmacdonald,2023-06-22,JavaScript,Thursday
jnorthrup,2023-08-05,JavaScript,Saturday
pavlovcik,2023-07-30,,Sunday
danieltroger,2023-08-17,Rust,Thursday
andrew-delph,2023-06-29,TypeScript,Thursday
D3Zyre,2023-06-12,Python,Monday
CakeCrusher,2023-08-09,Python,Wednesday
holmesworcester,2023-07-07,C,Friday
alltheseas,2023-08-04,C,Friday
ArdenHide,2023-06-05,C#,Monday
ddanielsantos,2023-07-22,TypeScript,Saturday
sdmcraft,2023-06-08,JavaScript,Thursday
johndpope,2023-08-01,C++,Tuesday
johndpope,2023-07-21,C++,Friday
simonw,2023-07-16,Python,Sunday
tabacitu,2023-08-18,,Friday
Bloemendaal,2023-08-14,PHP,Monday
pionxzh,2023-06-08,TypeScript,Thursday
jayy-ahn,2023-07-20,Java,Thursday
tncks0121,2023-09-07,Rust,Thursday
neilenns,2023-08-07,JavaScript,Monday
simonw,2023-08-21,,Monday
Fredkiss3,2023-08-01,TypeScript,Tuesday
tisztamo,2023-08-22,Shell,Tuesday
CakeCrusher,2023-08-20,Python,Sunday
Motomanual,2023-06-29,C++,Thursday
AndyGrant,2023-07-24,Python,Monday
Merlijnmacgillavry,2023-06-01,Python,Thursday
cyfung1031,2023-08-17,JavaScript,Thursday
meltyyyyy,2023-07-11,Python,Tuesday
1starJ,2023-09-03,Rust,Sunday
mpses,2023-06-20,Python,Tuesday
maro114510,2023-06-04,JavaScript,Sunday
crogonint,2023-09-07,Java,Thursday
HiroIshida,2023-07-08,C++,Saturday
0xai,2023-05-31,Rust,Wednesday
florian-lefebvre,2023-06-16,TypeScript,Friday
bbelderbos,2023-06-12,JavaScript,Monday
NaoyaFukuma,2023-05-31,C++,Wednesday
cdrini,2023-06-07,Python,Wednesday
mahrud,2023-06-22,Ruby,Thursday
ChristopherRabotin,2023-06-26,Rust,Monday
hjonin,2023-08-24,TypeScript,Thursday
simonw,2023-07-02,HTML,Sunday
nuhmanpk,2023-07-13,Python,Thursday
L-M-Sherlock,2023-08-23,Rust,Wednesday
gkholman,2023-08-03,HTML,Thursday
zhyunk,2023-08-03,Java,Thursday
andykamp,2023-08-03,TypeScript,Thursday
keckelt,2023-07-20,Jupyter Notebook,Thursday
stefanmuellerdo,2023-08-15,C#,Tuesday
Ken-Watson,2023-06-20,Python,Tuesday
stnqls,2023-06-21,TypeScript,Wednesday
harshvardhanbarhan,2023-06-16,PHP,Friday
tegefaulkes,2023-08-08,JavaScript,Tuesday
liusida,2023-06-22,,Thursday
Af7eR9l0W,2023-05-31,Python,Wednesday
naorsabag,2023-06-24,Python,Saturday
Jerome-CM,2023-06-09,Java,Friday
MidoriKami,2023-06-09,C#,Friday
wweevv-johndpope,2023-08-22,Python,Tuesday
NotBrianZach,2023-06-30,PLpgSQL,Friday
mprib,2023-07-24,Python,Monday
simonw,2023-06-19,Python,Monday
eric-czech,2023-07-20,Jupyter Notebook,Thursday
qingyun-wu,2023-06-11,Jupyter Notebook,Sunday
JushBJJ,2023-06-14,,Wednesday
dootsie5times,2023-07-27,Python,Thursday
RafaelPalomar,2023-06-10,Python,Saturday
Elucidation,2023-07-14,JavaScript,Friday
sebcaps,2023-08-21,Python,Monday
CakeCrusher,2023-08-10,Python,Thursday
nvnieuwk,2023-06-09,Groovy,Friday
Nevon,2023-09-01,JavaScript,Friday
vats147,2023-07-10,TypeScript,Monday
erikengervall,2023-08-03,JavaScript,Thursday
istasi,2023-06-01,PHP,Thursday
varenc,2023-05-27,,Saturday
simonw,2023-08-18,Python,Friday
andrew-delph,2023-05-30,TypeScript,Tuesday
dbochicchioasclepyus,2023-07-18,,Tuesday
klei0229,2023-08-23,JavaScript,Wednesday
simonw,2023-06-09,Python,Friday
tegefaulkes,2023-08-01,JavaScript,Tuesday
changchiyou,2023-06-26,Python,Monday
diegosanchezstrange,2023-07-04,C++,Tuesday
haitranvua,2023-09-08,JavaScript,Friday
simonw,2023-09-03,Python,Sunday
bzg,2023-07-06,TypeScript,Thursday
sherifayantayo,2023-08-11,Python,Friday
HeadStudios,2023-06-07,PHP,Wednesday
tyamap,2023-06-08,TypeScript,Thursday
pavlovcik,2023-07-28,TypeScript,Friday
pavlovcik,2023-08-08,TypeScript,Tuesday
bra1nDump,2023-08-08,Python,Tuesday
tkellogg,2023-06-19,Rust,Monday
baurine,2023-06-09,HTML,Friday
displague,2023-06-08,Python,Thursday
simonw,2023-08-20,,Sunday
regis-amaral,2023-07-14,Java,Friday
ianbmacdonald,2023-06-29,JavaScript,Thursday
jeyarajcs,2023-07-12,Python,Wednesday
matstep0,2023-07-20,Python,Thursday
DarkWarden85,2023-05-30,Python,Tuesday
CMCDragonkai,2023-06-08,TypeScript,Thursday
simonw,2023-07-02,Python,Sunday
skorfmann,2023-06-09,TypeScript,Friday
purcell-lab,2023-07-13,Python,Thursday
abrichr,2023-06-01,Python,Thursday
abrichr,2023-05-27,Python,Saturday
BirgerMoell,2023-06-28,Python,Wednesday
unjust,2023-05-31,JavaScript,Wednesday
joshuakarp,2023-08-14,TypeScript,Monday
simonw,2023-06-20,Python,Tuesday
cotton-alta,2023-08-22,TypeScript,Tuesday
flapbird1,2023-06-20,Python,Tuesday
toshiki31,2023-06-08,,Thursday
gglusman,2023-05-31,,Wednesday
jbellis,2023-08-31,Java,Thursday
muninnhugin,2023-07-29,JavaScript,Saturday
simonw,2023-08-27,Python,Sunday
colonelpanic8,2023-06-19,Emacs Lisp,Monday
take-i,2023-07-21,PHP,Friday
AnanyaV2004,2023-06-18,JavaScript,Sunday
vegidio,2023-08-21,Java,Monday
AntonOsika,2023-07-08,Python,Saturday
rknightion,2023-06-21,Go,Wednesday
AnanyaV2004,2023-06-17,JavaScript,Saturday
buttercutter,2023-06-26,Jupyter Notebook,Monday
aesculus,2023-06-25,Python,Sunday
UltimoDragao,2023-08-10,JavaScript,Thursday
yuryalencar,2023-08-10,JavaScript,Thursday
tegefaulkes,2023-07-14,TypeScript,Friday
eric-czech,2023-07-13,Jupyter Notebook,Thursday
sync-by-unito,2023-06-23,TypeScript,Friday
fuhrmanator,2023-07-01,HTML,Saturday
L-M-Sherlock,2023-08-20,Jupyter Notebook,Sunday
vbextreme,2023-07-04,Python,Tuesday
StefanSalewski,2023-09-12,Nim,Tuesday
xexyl,2023-08-19,C,Saturday
aesculus,2023-06-08,Python,Thursday
joshuakarp,2023-06-29,TypeScript,Thursday
nitzantomer,2023-08-25,TypeScript,Friday
