Author,DateOfConversation,day_name
baurine,2023-06-09,Friday
displague,2023-06-08,Thursday
simonw,2023-08-20,Sunday
regis-amaral,2023-07-14,Friday
ianbmacdonald,2023-06-29,Thursday
jeyarajcs,2023-07-12,Wednesday
matstep0,2023-07-20,Thursday
DarkWarden85,2023-05-30,Tuesday
CMCDragonkai,2023-06-08,Thursday
skorfmann,2023-06-09,Friday
purcell-lab,2023-07-13,Thursday
abrichr,2023-06-01,Thursday
abrichr,2023-05-27,Saturday
BirgerMoell,2023-06-28,Wednesday
unjust,2023-05-31,Wednesday
joshuakarp,2023-08-14,Monday
simonw,2023-06-20,Tuesday
cotton-alta,2023-08-22,Tuesday
flapbird1,2023-06-20,Tuesday
toshiki31,2023-06-08,Thursday
gglusman,2023-05-31,Wednesday
jbellis,2023-08-31,Thursday
muninnhugin,2023-07-29,Saturday
simonw,2023-08-27,Sunday
colonelpanic8,2023-06-19,Monday
take-i,2023-07-21,Friday
AnanyaV2004,2023-06-18,Sunday
vegidio,2023-08-21,Monday
AntonOsika,2023-07-08,Saturday
rknightion,2023-06-21,Wednesday
AnanyaV2004,2023-06-17,Saturday
buttercutter,2023-06-26,Monday
aesculus,2023-06-25,Sunday
UltimoDragao,2023-08-10,Thursday
yuryalencar,2023-08-10,Thursday
tegefaulkes,2023-07-14,Friday
eric-czech,2023-07-13,Thursday
sync-by-unito,2023-06-23,Friday
fuhrmanator,2023-07-01,Saturday
L-M-Sherlock,2023-08-20,Sunday
vbextreme,2023-07-04,Tuesday
StefanSalewski,2023-09-12,Tuesday
xexyl,2023-08-19,Saturday
aesculus,2023-06-08,Thursday
joshuakarp,2023-06-29,Thursday
nitzantomer,2023-08-25,Friday
